segment_id,segment_start,segment_end,active_source_count,weighted_evidence_strength,evidence_count,grade_count,water_evidence_count,collapse_evidence_count,deformation_evidence_count,water_flag_fused,collapse_flag_fused,deformation_flag_fused,fused_grade,hazard,uncertainty,coverage,water_type_fused,joint_degree_fused,rock_mass_state_fused,rock_uniformity_fused,weathering_fused,stability_fused,lithology_fused,speed_mean,speed_std,speed_median,speed_min,speed_max,thrust_mean,thrust_std,thrust_median,thrust_max,torque_mean,torque_std,torque_median,torque_max,rpm_mean,rpm_std,rpm_median,rpm_max,stop_ratio,work_ratio,fused_grade_num,geo_prior_score,hazard_has_water,hazard_has_collapse,hazard_has_deform,geo_prior_mid,geo_prior_high,future_speed_mean,future_thrust_mean,future_torque_mean,future_stop_ratio,future_speed_std,future_count,flag_future_slowdown,flag_future_high_thrust,flag_future_high_torque,flag_future_high_stop,flag_future_fluctuation,future_response_bad,pure_stop_like,label_risk,label_valid
-10.0_0.0,-10.0,0.0,0,0.0,0,0,0,0,0,0,0,0,,无明显异常,high,none,,,,,,,,1.2547613854209445,4.240314360809908,0.0,0.0,25.90698,1143.7859678439424,3788.505321751391,0.0,15013.33,108.31524656776182,357.87572630064466,0.0,2600.647,16.280534912268994,33.564616169300955,1.171875,92.07176,0.9152977412731006,0.08470225872689939,,0.0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1,1,0,0,1,0,1,0,0,1
0.0_10.0,0.0,10.0,0,0.0,0,0,0,0,0,0,0,0,,无明显异常,high,none,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0476654256097562,0.14111252356936824,1.041667,1.996528,1.0,0.0,,0.0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0
1013190.0_1013200.0,1013190.0,1013200.0,2,6.0255,5,3,2,1,0,1,1,0,Ⅴ,裂隙发育+围岩破碎+围岩等级建议+线-股状出水+出水+围岩极破碎+泥质填充+裂隙密集+掉块,medium,multi,线-股状出水,发育密集,破碎-极破碎,软硬不均,弱风化,较差,板岩夹变质砂岩,8.626306653266331,15.366142240244308,0.0,0.0,40.63916,5355.095201005025,9930.816536139386,0.0,27829.71,706.0492019095477,1391.453558025291,0.0,4017.647,1.5869064371859296,2.5976965283225004,0.0,15.37613,0.7437185929648241,0.2562814070351759,5.0,11.47853077432164,1,1,0,1,1,,,,,,0,0,0,0,0,0,0,0,0,0
1013210.0_1013220.0,1013210.0,1013220.0,1,1.0,1,1,0,0,0,0,0,0,Ⅴ,裂隙发育+围岩破碎+围岩等级建议,high,single,,发育,破碎,软硬不均,弱风化,较差,板岩夹变质砂岩,4.731208500853765,12.144936267280906,0.0,0.0,49.64893,3927.7873254378283,9462.089236972188,0.0,31491.29,509.27058102189136,1236.6451626724952,0.0,5411.399,1.0986284093143608,2.738666398799752,0.0,39.78255,0.8299036777583187,0.17009632224168125,5.0,4.979417604235606,0,0,0,0,0,6.647574550683682,4679.074848131268,769.9970171216955,0.8258887876025525,18.400853345533548,1,1,0,0,1,0,1,0,0,1
1013220.0_1013230.0,1013220.0,1013230.0,1,2.0,2,2,0,1,0,0,1,0,Ⅴ,裂隙发育+围岩破碎+围岩等级建议+掉块+较明显反射异常+裂隙密集+围岩极破碎,high,single,,发育,破碎,软硬不均,弱风化,较差,板岩夹变质砂岩,6.647574550683682,18.400853345533548,0.0,0.0,479.0474,4679.074848131268,10394.627154668593,0.0,30359.84,769.9970171216955,1737.4035150709162,0.0,5729.247,1.0818780783044666,3.4627369762130082,0.0,39.90052,0.8258887876025525,0.1741112123974476,5.0,8.05883520847121,0,1,0,1,1,,,,,,0,0,0,0,0,0,0,0,0,0
1013250.0_1013260.0,1013250.0,1013260.0,1,1.0,1,1,0,0,0,0,0,0,Ⅴ,裂隙发育+围岩破碎+围岩等级建议,high,single,,发育,破碎,软硬不均,弱风化,较差,板岩夹变质砂岩,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4.979417604235606,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0
1013270.0_1013280.0,1013270.0,1013280.0,2,2.0,2,2,0,1,0,0,1,0,Ⅴ,掉块+明显反射异常+裂隙密集+围岩极破碎+围岩等级建议+裂隙发育+围岩破碎,medium,multi,,发育,破碎,软硬不均,弱风化,较差,板岩夹变质砂岩,14.424096513219094,20.926605972348977,0.0,0.0,52.52454,10140.008675546513,14174.22670435039,0.0,32110.29,1593.8459304247247,2238.969284705417,0.0,5872.109,2.0954996744186047,2.697498834787016,0.0,24.60078,0.6487148102815178,0.35128518971848227,5.0,8.95883520847121,0,1,0,1,1,9.076128286728176,5771.0978731786145,891.6701508611309,0.7958362905133665,24.747969728152878,1,0,0,0,1,1,0,0,0,1
1013280.0_1013290.0,1013280.0,1013290.0,2,2.0,2,2,0,1,0,0,1,0,Ⅴ,掉块+明显反射异常+裂隙密集+围岩极破碎+围岩等级建议+裂隙发育+围岩破碎,medium,multi,,发育,破碎,软硬不均,弱风化,较差,板岩夹变质砂岩,9.076128286728176,24.747969728152878,0.0,0.0,596.1731,5771.0978731786145,11668.409162866717,0.0,33503.89,891.6701508611309,1813.0610379525908,0.0,6456.809,1.4660786390347764,3.8600894390714946,0.0,39.86275,0.7958362905133665,0.20416370948663354,5.0,8.95883520847121,0,1,0,1,1,18.36610112172761,10591.16238700053,1783.076975226285,0.5839957604663487,24.05631388603734,1,0,1,1,0,1,0,0,0,1
1013290.0_1013300.0,1013290.0,1013300.0,2,2.0,2,2,0,1,0,0,1,0,Ⅳ,裂隙发育+围岩破碎+围岩等级建议,high,single,,发育,破碎,软硬不均,弱风化,较差,板岩夹变质砂岩,18.36610112172761,24.05631388603734,0.0,0.0,170.9926,10591.16238700053,12930.439945256052,0.0,29502.37,1783.076975226285,2183.4150535335425,217.9809,6032.846,2.9148460837307897,3.720966944597275,4.463417,39.76121,0.5839957604663487,0.4160042395336513,4.0,6.75883520847121,0,0,0,0,0,18.368281645844505,7959.200653645442,1191.6312706065685,0.7278820375335121,82.31676481321391,1,0,0,0,0,1,0,0,0,1
1013300.0_1013310.0,1013300.0,1013310.0,1,1.0,1,1,0,0,0,0,0,0,Ⅳ,裂隙发育+围岩破碎+围岩等级建议,high,single,,发育,破碎,软硬不均,弱风化,较差,板岩夹变质砂岩,18.368281645844505,82.31676481321391,0.0,0.0,2115.936,7959.200653645442,13407.772978521918,0.0,34770.65,1191.6312706065685,2014.8116685348948,0.0,6072.967,1.953199367261394,4.065656600669086,0.0,39.97635,0.7278820375335121,0.27211796246648795,4.0,4.179417604235606,0,0,0,0,0,4.00818340982859,1772.4762047595534,299.72899445746185,0.9174398490328668,14.531800477405428,1,1,0,0,1,0,1,0,0,1
